EPOCHS,LEARNING_RATE,BATCH_SIZE,KERNEL,POOLING,ACC_TRAIN,ACC_TEST,ERROR_TRAIN,ERROR_TEST
0,0.0009,100,2,average,41.37200117111206,54.85000014305115,1.6153002977371216,1.2629945278167725
1,0.0009,100,2,average,57.79600143432617,61.8399977684021,1.1855671405792236,1.0854008197784424
0,0.0009,100,3,average,40.654000639915466,52.59000062942505,1.6398308277130127,1.3032954931259155
1,0.0009,100,3,average,56.397998332977295,59.24000144004822,1.2198063135147095,1.1290334463119507
0,0.0009,100,5,average,33.97800028324127,45.86000144481659,1.815545678138733,1.473008394241333
1,0.0009,100,5,average,50.36799907684326,53.359997272491455,1.3805099725723267,1.3092074394226074
