EPOCHS,LEARNING_RATE,BATCH_SIZE,KERNEL,POOLING,ACC_TRAIN,ACC_TEST,ERROR_TRAIN,ERROR_TEST
2,0.0009,100,5,average,51.010000705718994,54.019999504089355,1.358015775680542,1.2797294855117798
3,0.0009,100,5,average,57.5219988822937,56.540000438690186,1.1933788061141968,1.2083008289337158
4,0.0009,100,5,average,61.904001235961914,61.169999837875366,1.0767868757247925,1.0876728296279907
5,0.0009,100,5,average,65.64800143241882,64.49999809265137,0.9695398807525635,1.0287020206451416
6,0.0009,100,5,average,69.13800239562988,66.58999919891357,0.8762586712837219,0.9575853943824768
7,0.0009,100,5,average,72.38399982452393,67.25999712944031,0.7812799215316772,0.9452722072601318
8,0.0009,100,5,average,75.49600005149841,67.89000034332275,0.6935356259346008,0.9473564028739929
9,0.0009,100,5,average,78.4879982471466,68.61000061035156,0.6131398677825928,0.9484516978263855
10,0.0009,100,5,average,80.98199963569641,70.08000016212463,0.5316430330276489,0.9411218166351318
11,0.0009,100,5,average,83.95000100135803,69.06999945640564,0.45228201150894165,1.05350661277771
12,0.0009,100,5,average,86.34399771690369,70.02000212669373,0.38360854983329773,1.058823823928833
13,0.0009,100,5,average,88.85800242424011,69.96999979019165,0.3135926127433777,1.1834310293197632
14,0.0009,100,5,average,91.00199937820435,69.01999711990356,0.25511929392814636,1.2484235763549805
15,0.0009,100,5,average,92.85600185394287,69.63000297546387,0.20476630330085754,1.3514022827148438
1,0.0009,200,2,max,39.05999958515167,52.59000062942505,1.7036861181259155,1.3231744766235352
2,0.0009,200,2,max,58.83600115776062,60.579997301101685,1.1652576923370361,1.0995867252349854
3,0.0009,200,2,max,65.15200138092041,66.47999882698059,0.9885085821151733,0.9563525915145874
4,0.0009,200,2,max,70.22200226783752,69.2300021648407,0.8521484136581421,0.8825245499610901
5,0.0009,200,2,max,74.27600026130676,69.69000101089478,0.7326409816741943,0.863091230392456
6,0.0009,200,2,max,77.66199707984924,73.6299991607666,0.6392030119895935,0.7964521646499634
7,0.0009,200,2,max,81.18399977684021,73.50000143051147,0.536362886428833,0.8019899129867554
8,0.0009,200,2,max,84.46999788284302,73.3299970626831,0.44426003098487854,0.8283465504646301
9,0.0009,200,2,max,88.19400072097778,72.89999723434448,0.3411056399345398,0.9359171390533447
10,0.0009,200,2,max,91.20200276374817,73.21000099182129,0.2556397318840027,0.974335789680481
11,0.0009,200,2,max,93.57399940490723,74.01999831199646,0.18723107874393463,1.022032380104065
12,0.0009,200,2,max,94.96999979019165,74.05999898910522,0.14498281478881836,1.1466951370239258
13,0.0009,200,2,max,96.43399715423584,73.54999780654907,0.10480552166700363,1.2206517457962036
14,0.0009,200,2,max,97.14000225067139,73.65000247955322,0.08488014340400696,1.3440905809402466
15,0.0009,200,2,max,97.15999960899353,73.84999990463257,0.08198349922895432,1.4094254970550537
1,0.0009,200,2,average,35.881999135017395,49.54000115394592,1.7784249782562256,1.392073392868042
2,0.0009,200,2,average,52.8219997882843,56.279999017715454,1.3095685243606567,1.230393648147583
3,0.0009,200,2,average,59.48600172996521,59.56000089645386,1.1391351222991943,1.1363027095794678
4,0.0009,200,2,average,64.16400074958801,63.70000243186951,1.017171025276184,1.018926739692688
5,0.0009,200,2,average,67.67200231552124,65.85000157356262,0.9179621934890747,0.9605115652084351
6,0.0009,200,2,average,71.424001455307,68.30000281333923,0.8160190582275391,0.9183747172355652
7,0.0009,200,2,average,74.18599724769592,69.04000043869019,0.7307233214378357,0.8890366554260254
8,0.0009,200,2,average,77.22200155258179,69.19000148773193,0.6460209488868713,0.9014590382575989
9,0.0009,200,2,average,80.24399876594543,71.10000252723694,0.5669281482696533,0.8689822554588318
10,0.0009,200,2,average,83.17800164222717,71.57999873161316,0.4781123697757721,0.896803081035614
11,0.0009,200,2,average,86.15999817848206,72.32000231742859,0.3977627158164978,0.9154360890388489
12,0.0009,200,2,average,88.75600099563599,71.24000191688538,0.32568857073783875,0.9970666766166687
13,0.0009,200,2,average,91.14000201225281,70.59999704360962,0.25551798939704895,1.090356469154358
14,0.0009,200,2,average,93.2420015335083,72.14000225067139,0.19686134159564972,1.128047227859497
15,0.0009,200,2,average,94.58600282669067,71.03000283241272,0.15694168210029602,1.2915043830871582
1,0.0009,200,3,max,35.45199930667877,48.989999294281006,1.7928067445755005,1.4016400575637817
2,0.0009,200,3,max,55.62800168991089,60.46000123023987,1.2481311559677124,1.1170642375946045
3,0.0009,200,3,max,63.58000040054321,65.17000198364258,1.038172960281372,0.9792720675468445
4,0.0009,200,3,max,68.68399977684021,68.02999973297119,0.8964043259620667,0.9201708436012268
5,0.0009,200,3,max,72.51200079917908,69.760000705719,0.7921112775802612,0.8755171895027161
6,0.0009,200,3,max,75.98599791526794,72.28000164031982,0.6918880939483643,0.8144116401672363
7,0.0009,200,3,max,78.84600162506104,73.47000241279602,0.6067727208137512,0.7967345714569092
8,0.0009,200,3,max,81.78200125694275,72.64999747276306,0.520078182220459,0.8142178058624268
9,0.0009,200,3,max,85.0380003452301,73.30999970436096,0.4285009205341339,0.8466061949729919
10,0.0009,200,3,max,87.73999810218811,75.01999735832214,0.35335442423820496,0.8701131343841553
11,0.0009,200,3,max,90.09000062942505,73.69999885559082,0.28240931034088135,0.9528588056564331
12,0.0009,200,3,max,92.31399893760681,74.23999905586243,0.22237583994865417,1.0590306520462036
13,0.0009,200,3,max,94.19599771499634,74.40999746322632,0.1701754778623581,1.103369116783142
14,0.0009,200,3,max,95.77999711036682,74.76000189781189,0.12306372821331024,1.2138726711273193
15,0.0009,200,3,max,96.47200107574463,73.37999939918518,0.10323233902454376,1.3040335178375244
1,0.0009,200,3,average,33.30000042915344,46.790000796318054,1.8390902280807495,1.454453706741333
2,0.0009,200,3,average,51.05599761009216,54.019999504089355,1.3596618175506592,1.2778053283691406
3,0.0009,200,3,average,58.174002170562744,59.8800003528595,1.1752489805221558,1.1066817045211792
4,0.0009,200,3,average,63.02599906921387,61.51999831199646,1.0439752340316772,1.0721207857131958
5,0.0009,200,3,average,66.63200259208679,65.74000120162964,0.9457098245620728,0.9777435064315796
6,0.0009,200,3,average,70.17199993133545,67.1500027179718,0.8547049164772034,0.9471434950828552
7,0.0009,200,3,average,72.87200093269348,66.94999933242798,0.7768118977546692,0.9417065382003784
8,0.0009,200,3,average,75.44999718666077,69.26000118255615,0.7001714110374451,0.8853151202201843
9,0.0009,200,3,average,78.15999984741211,70.56999802589417,0.6232642531394958,0.850656270980835
10,0.0009,200,3,average,80.63799738883972,71.29999995231628,0.5524354577064514,0.8641572594642639
11,0.0009,200,3,average,83.2639992237091,71.46000266075134,0.4791587293148041,0.8824392557144165
12,0.0009,200,3,average,86.04999780654907,71.49999737739563,0.40033647418022156,0.9332597255706787
13,0.0009,200,3,average,88.19000124931335,70.01000046730042,0.33890974521636963,1.0230175256729126
14,0.0009,200,3,average,90.43999910354614,71.74000144004822,0.2796728014945984,1.049626350402832
15,0.0009,200,3,average,91.78599715232849,71.5499997138977,0.2343418300151825,1.0921454429626465
1,0.0009,200,5,max,31.67400062084198,46.36000096797943,1.877000331878662,1.4495594501495361
2,0.0009,200,5,max,52.21800208091736,58.730000257492065,1.315733790397644,1.1649014949798584
3,0.0009,200,5,max,60.30600070953369,61.01999878883362,1.1213655471801758,1.0992642641067505
4,0.0009,200,5,max,64.67599868774414,64.31000232696533,1.0015869140625,1.0121443271636963
5,0.0009,200,5,max,67.99399852752686,66.54000282287598,0.9101275205612183,0.9633558392524719
6,0.0009,200,5,max,71.069997549057,69.17999982833862,0.8250245451927185,0.8955873847007751
7,0.0009,200,5,max,73.9080011844635,70.20999789237976,0.7427340745925903,0.8692168593406677
8,0.0009,200,5,max,76.18799805641174,70.49999833106995,0.678516685962677,0.8686065673828125
9,0.0009,200,5,max,78.50599884986877,70.92000246047974,0.6096035242080688,0.8666044473648071
10,0.0009,200,5,max,80.62000274658203,72.72999882698059,0.5550567507743835,0.848604142665863
11,0.0009,200,5,max,82.95999765396118,71.41000032424927,0.4860984683036804,0.8942540884017944
12,0.0009,200,5,max,85.30399799346924,71.96000218391418,0.42321595549583435,0.9252727627754211
13,0.0009,200,5,max,87.16199994087219,71.42999768257141,0.3641180694103241,1.0146594047546387
14,0.0009,200,5,max,88.6139988899231,71.3699996471405,0.32463178038597107,1.0445513725280762
15,0.0009,200,5,max,90.5780017375946,71.3100016117096,0.26687929034233093,1.1382347345352173
1,0.0009,200,5,average,29.214000701904297,41.510000824928284,1.9435955286026,1.5790388584136963
2,0.0009,200,5,average,46.164000034332275,48.85999858379364,1.4824450016021729,1.3864094018936157
3,0.0009,200,5,average,52.50200033187866,54.82000112533569,1.3211255073547363,1.2672117948532104
4,0.0009,200,5,average,56.686002016067505,57.38999843597412,1.2158585786819458,1.1983041763305664
5,0.0009,200,5,average,60.98399758338928,60.11999845504761,1.105136513710022,1.129150152206421
6,0.0009,200,5,average,64.25600051879883,62.76000142097473,1.0064983367919922,1.0666636228561401
7,0.0009,200,5,average,67.1019971370697,65.99000096321106,0.932380199432373,0.975781261920929
8,0.0009,200,5,average,70.0219988822937,66.51999950408936,0.8558900952339172,0.9770439267158508
9,0.0009,200,5,average,72.31199741363525,67.33999848365784,0.7884618043899536,0.938727855682373
10,0.0009,200,5,average,74.09399747848511,67.43000149726868,0.7335169911384583,0.9616928100585938
11,0.0009,200,5,average,76.15600228309631,70.32999992370605,0.6729108691215515,0.8916419744491577
12,0.0009,200,5,average,78.93400192260742,70.49000263214111,0.6038757562637329,0.8979552984237671
13,0.0009,200,5,average,80.86400032043457,70.80000042915344,0.5449972152709961,0.9155619740486145
14,0.0009,200,5,average,83.024001121521,70.23000121116638,0.4826638698577881,0.9526693820953369
15,0.0009,200,5,average,84.64199900627136,69.85999941825867,0.43405717611312866,1.0111883878707886
1,0.0005,100,2,max,43.92400085926056,56.929999589920044,1.5576391220092773,1.226632833480835
2,0.0005,100,2,max,60.537999868392944,64.96999859809875,1.1112321615219116,1.0026966333389282
3,0.0005,100,2,max,67.51400232315063,68.88999938964844,0.9258298277854919,0.9005410671234131
4,0.0005,100,2,max,71.86599969863892,69.91000175476074,0.8017871975898743,0.8666634559631348
5,0.0005,100,2,max,76.146000623703,72.25000262260437,0.6837697625160217,0.8119624257087708
6,0.0005,100,2,max,79.96000051498413,74.26000237464905,0.5734266638755798,0.7662988901138306
7,0.0005,100,2,max,83.36600065231323,73.61000180244446,0.4753231108188629,0.8167738318443298
8,0.0005,100,2,max,87.05800175666809,74.23999905586243,0.372930109500885,0.850508451461792
9,0.0005,100,2,max,90.25599956512451,74.88999962806702,0.2806975245475769,0.8625471591949463
10,0.0005,100,2,max,93.14200282096863,73.18999767303467,0.2014087736606598,1.0515531301498413
11,0.0005,100,2,max,95.1960027217865,74.65999722480774,0.14261651039123535,1.121153473854065
12,0.0005,100,2,max,96.24599814414978,73.97000193595886,0.11233451217412949,1.1783185005187988
13,0.0005,100,2,max,97.38199710845947,74.40999746322632,0.08058425784111023,1.3104761838912964
14,0.0005,100,2,max,97.42199778556824,74.6999979019165,0.07435787469148636,1.291469931602478
15,0.0005,100,2,max,97.60599732398987,74.68000054359436,0.07161550223827362,1.3721979856491089
1,0.0005,100,2,average,39.87799882888794,50.55000185966492,1.6562836170196533,1.3522453308105469
2,0.0005,100,2,average,55.15999794006348,56.72000050544739,1.2557811737060547,1.20078706741333
3,0.0005,100,2,average,61.291998624801636,61.970001459121704,1.0864108800888062,1.0823835134506226
4,0.0005,100,2,average,65.89999794960022,65.41000008583069,0.9600901007652283,0.9735979437828064
5,0.0005,100,2,average,69.95599865913391,68.15999746322632,0.8594025373458862,0.9075225591659546
6,0.0005,100,2,average,72.74199724197388,68.19999814033508,0.7729704976081848,0.9164187908172607
7,0.0005,100,2,average,75.94199776649475,69.88999843597412,0.686972439289093,0.8854761719703674
8,0.0005,100,2,average,78.63600254058838,70.14999985694885,0.6067025065422058,0.8865268230438232
9,0.0005,100,2,average,81.80800080299377,71.92999720573425,0.5218715667724609,0.8333685994148254
10,0.0005,100,2,average,84.64400172233582,72.7400004863739,0.4440179765224457,0.8416450023651123
11,0.0005,100,2,average,87.117999792099,72.15999960899353,0.3678945004940033,0.9130066633224487
12,0.0005,100,2,average,89.82800245285034,73.18000197410583,0.29487183690071106,0.9465457201004028
13,0.0005,100,2,average,92.16399788856506,72.49000072479248,0.22788619995117188,1.0265779495239258
14,0.0005,100,2,average,93.74399781227112,72.93999791145325,0.18200445175170898,1.0655255317687988
15,0.0005,100,2,average,95.2679991722107,72.61999845504761,0.1373283416032791,1.222119688987732
1,0.0005,100,3,max,43.14799904823303,56.05999827384949,1.5817373991012573,1.2495461702346802
2,0.0005,100,3,max,59.846001863479614,64.68999981880188,1.135718584060669,1.016531229019165
3,0.0005,100,3,max,66.64599776268005,68.07000041007996,0.9519465565681458,0.9195429086685181
4,0.0005,100,3,max,71.28199934959412,70.8299994468689,0.8243399262428284,0.8460336327552795
5,0.0005,100,3,max,75.24999976158142,70.20999789237976,0.7133867740631104,0.868012011051178
6,0.0005,100,3,max,78.34399938583374,72.18000292778015,0.6207693815231323,0.8106852173805237
7,0.0005,100,3,max,81.1240017414093,73.94000291824341,0.5398560166358948,0.7888693809509277
8,0.0005,100,3,max,84.40999984741211,72.86999821662903,0.44677838683128357,0.8740838766098022
9,0.0005,100,3,max,87.11000084877014,72.64999747276306,0.3665218949317932,0.9326457381248474
10,0.0005,100,3,max,90.07800221443176,74.37999844551086,0.28618186712265015,0.912574052810669
11,0.0005,100,3,max,92.5379991531372,74.1599977016449,0.21344706416130066,0.9987584948539734
12,0.0005,100,3,max,94.50399875640869,74.54000115394592,0.16197636723518372,1.065999150276184
13,0.0005,100,3,max,95.45999765396118,73.61999750137329,0.13151481747627258,1.2178109884262085
14,0.0005,100,3,max,96.20000123977661,73.40999841690063,0.10921092331409454,1.323767900466919
15,0.0005,100,3,max,96.88799977302551,73.87999892234802,0.0910942330956459,1.3075838088989258
1,0.0005,100,3,average,38.01200091838837,48.500001430511475,1.7121236324310303,1.4234639406204224
2,0.0005,100,3,average,52.88199782371521,56.550002098083496,1.3108192682266235,1.2285094261169434
3,0.0005,100,3,average,58.81199836730957,59.5300018787384,1.16006600856781,1.1239597797393799
4,0.0005,100,3,average,63.099998235702515,62.550002336502075,1.0453028678894043,1.0626707077026367
5,0.0005,100,3,average,66.57599806785583,65.56000113487244,0.9461827874183655,0.975185751914978
6,0.0005,100,3,average,69.78800296783447,67.65000224113464,0.86215740442276,0.9207099676132202
7,0.0005,100,3,average,72.44600057601929,68.88999938964844,0.7823929190635681,0.8951668739318848
8,0.0005,100,3,average,75.23000240325928,66.82000160217285,0.7055801749229431,0.9635661840438843
9,0.0005,100,3,average,77.56199836730957,71.46000266075134,0.6391409039497375,0.8509731888771057
10,0.0005,100,3,average,80.47400116920471,71.24999761581421,0.5632469654083252,0.8531845211982727
11,0.0005,100,3,average,82.77199864387512,71.35000228881836,0.4963230788707733,0.8726995587348938
12,0.0005,100,3,average,84.96400117874146,70.8899974822998,0.42840710282325745,0.9313775897026062
13,0.0005,100,3,average,87.73199915885925,71.29999995231628,0.35462725162506104,0.945952296257019
14,0.0005,100,3,average,89.7819995880127,72.42000102996826,0.2927599847316742,0.9922716021537781
15,0.0005,100,3,average,92.04400181770325,70.85999846458435,0.23007187247276306,1.106248140335083
1,0.0005,100,5,max,37.93799877166748,48.899999260902405,1.7049295902252197,1.427478313446045
2,0.0005,100,5,max,55.75600266456604,57.910001277923584,1.2387194633483887,1.2096679210662842
3,0.0005,100,5,max,62.1940016746521,63.8700008392334,1.069640874862671,1.0356186628341675
4,0.0005,100,5,max,66.87800288200378,65.59000015258789,0.9411227703094482,0.9871485829353333
5,0.0005,100,5,max,70.1799988746643,67.10000038146973,0.8525671362876892,0.9498655200004578
6,0.0005,100,5,max,73.198002576828,67.71000027656555,0.7671586871147156,0.949647068977356
7,0.0005,100,5,max,75.77000260353088,69.4599986076355,0.6907579898834229,0.8957094550132751
8,0.0005,100,5,max,78.25400233268738,70.8400011062622,0.6208259463310242,0.8673112392425537
9,0.0005,100,5,max,80.47000169754028,70.91000080108643,0.5510058999061584,0.9040944576263428
10,0.0005,100,5,max,83.2040011882782,71.92000150680542,0.47977325320243835,0.9112914204597473
11,0.0005,100,5,max,85.26800274848938,72.29999899864197,0.41886216402053833,0.9114590287208557
12,0.0005,100,5,max,87.52800226211548,72.22999930381775,0.35704943537712097,0.9975988268852234
13,0.0005,100,5,max,89.29600119590759,72.51999974250793,0.3022523820400238,1.0289798974990845
14,0.0005,100,5,max,91.71199798583984,71.3699996471405,0.2399466335773468,1.1583402156829834
15,0.0005,100,5,max,92.58000254631042,71.92999720573425,0.2098444104194641,1.1777114868164062
1,0.0005,100,5,average,34.408000111579895,44.760000705718994,1.8032174110412598,1.494779348373413
2,0.0005,100,5,average,49.215999245643616,52.28000283241272,1.3999905586242676,1.3287882804870605
3,0.0005,100,5,average,54.975998401641846,56.459999084472656,1.2559051513671875,1.222541093826294
4,0.0005,100,5,average,59.233999252319336,58.10999870300293,1.1421040296554565,1.194880485534668
5,0.0005,100,5,average,62.7560019493103,62.01000213623047,1.0467164516448975,1.084598183631897
6,0.0005,100,5,average,66.20399951934814,64.88000154495239,0.9576547145843506,0.9912561178207397
7,0.0005,100,5,average,68.95800232887268,66.01999998092651,0.8813579678535461,0.9697200655937195
8,0.0005,100,5,average,71.56000137329102,67.29999780654907,0.8123383522033691,0.9539448022842407
9,0.0005,100,5,average,73.66600036621094,69.02999877929688,0.7457104921340942,0.8956500887870789
10,0.0005,100,5,average,76.21600031852722,68.27999949455261,0.677772045135498,0.9361259937286377
11,0.0005,100,5,average,78.39199900627136,70.27999758720398,0.6156061291694641,0.8967956304550171
12,0.0005,100,5,average,80.27600049972534,70.63000202178955,0.5617433190345764,0.9057585000991821
13,0.0005,100,5,average,82.77599811553955,71.96000218391418,0.49218106269836426,0.9036353826522827
14,0.0005,100,5,average,84.88600254058838,70.57999968528748,0.4300771951675415,0.9865806698799133
15,0.0005,100,5,average,86.50199770927429,69.84000205993652,0.38370460271835327,1.0293220281600952
1,0.0005,200,2,max,39.61600065231323,53.22999954223633,1.6971834897994995,1.3154960870742798
2,0.0005,200,2,max,56.82799816131592,61.4300012588501,1.2218736410140991,1.1044702529907227
3,0.0005,200,2,max,62.713998556137085,64.19000029563904,1.0575664043426514,1.0092908143997192
4,0.0005,200,2,max,66.70200228691101,66.72999858856201,0.9470588564872742,0.9497814774513245
5,0.0005,200,2,max,70.38000226020813,68.76000165939331,0.8487957715988159,0.887617290019989
6,0.0005,200,2,max,73.69400262832642,70.78999876976013,0.7543596625328064,0.842359185218811
7,0.0005,200,2,max,76.33399963378906,71.28000259399414,0.6765287518501282,0.843934178352356
8,0.0005,200,2,max,78.95200252532959,72.47999906539917,0.603875994682312,0.8036481738090515
9,0.0005,200,2,max,82.03999996185303,74.04999732971191,0.5216700434684753,0.7820481657981873
10,0.0005,200,2,max,84.58200097084045,73.9799976348877,0.44687727093696594,0.8017289042472839
11,0.0005,200,2,max,87.47199773788452,72.75000214576721,0.3622203469276428,0.8670765161514282
12,0.0005,200,2,max,89.85999822616577,73.7600028514862,0.2990298867225647,0.8922814130783081
13,0.0005,200,2,max,91.97199940681458,74.04999732971191,0.23612485826015472,0.947944700717926
14,0.0005,200,2,max,93.99999976158142,74.55999851226807,0.18106232583522797,0.9866793155670166
15,0.0005,200,2,max,95.71800231933594,73.83999824523926,0.13319061696529388,1.0762693881988525
1,0.0005,200,2,average,35.631999373435974,47.99000024795532,1.8034000396728516,1.4382508993148804
2,0.0005,200,2,average,50.52400231361389,53.93000245094299,1.365675449371338,1.3062255382537842
3,0.0005,200,2,average,56.620001792907715,56.87999725341797,1.2194843292236328,1.2043910026550293
4,0.0005,200,2,average,60.523998737335205,61.07000112533569,1.115200400352478,1.0904793739318848
5,0.0005,200,2,average,63.92999887466431,63.15000057220459,1.0216144323349,1.0503135919570923
6,0.0005,200,2,average,66.26999974250793,65.56000113487244,0.9516658782958984,0.9794561266899109
7,0.0005,200,2,average,68.93799901008606,67.3200011253357,0.8809650540351868,0.9174728989601135
8,0.0005,200,2,average,71.64400219917297,68.48999857902527,0.8091381192207336,0.8963847160339355
9,0.0005,200,2,average,74.0339994430542,69.20999884605408,0.7455589175224304,0.8878374695777893
10,0.0005,200,2,average,76.16599798202515,70.20000219345093,0.6818016171455383,0.8689621686935425
