EPOCHS,OPTIM,RESIDUAL,AUGMENTED,DROPOUT,BATCH_NORM,ACC_TRAIN,ACC_TEST,TEST_F1,ERROR_TRAIN,ERROR_TEST
1,"ADAM,0.0009,WD=0",False,False,False,True,47.72999882698059,61.46000027656555,0.6146,1.4622766971588135,1.0968672037124634
2,"ADAM,0.0009,WD=0",False,False,False,True,64.85199928283691,67.330002784729,0.6733,0.9930188655853271,0.9418959617614746
3,"ADAM,0.0009,WD=0",False,False,False,True,71.54200077056885,71.90999984741211,0.7191,0.8158865571022034,0.812031626701355
4,"ADAM,0.0009,WD=0",False,False,False,True,76.22600197792053,73.089998960495,0.7309000000000001,0.6758626699447632,0.7712402939796448
5,"ADAM,0.0009,WD=0",False,False,False,True,80.3659975528717,74.14000034332275,0.7414,0.559722900390625,0.769036054611206
6,"ADAM,0.0009,WD=0",False,False,False,True,84.18200016021729,74.8799979686737,0.7488,0.44914084672927856,0.7889901995658875
7,"ADAM,0.0009,WD=0",False,False,False,True,88.05999755859375,74.36000108718872,0.7436,0.3396155834197998,0.893479585647583
8,"ADAM,0.0009,WD=0",False,False,False,True,91.30600094795227,75.38999915122986,0.7539000000000001,0.24684728682041168,0.9520177245140076
9,"ADAM,0.0009,WD=0",False,False,False,True,93.82799863815308,72.04999923706055,0.7205,0.1761125773191452,1.2416367530822754
10,"ADAM,0.0009,WD=0",False,False,False,True,94.57799792289734,74.22999739646912,0.7423000000000001,0.1563502699136734,1.2637784481048584
11,"ADAM,0.0009,WD=0",False,False,False,True,95.8899974822998,74.77999925613403,0.7478,0.11851003021001816,1.2795934677124023
12,"ADAM,0.0009,WD=0",False,False,False,True,96.84799909591675,73.91999959945679,0.7391999999999999,0.09054391086101532,1.4072113037109375
13,"ADAM,0.0009,WD=0",False,False,False,True,97.06400036811829,74.87000226974487,0.7487,0.08413836359977722,1.4073667526245117
14,"ADAM,0.0009,WD=0",False,False,False,True,97.24000096321106,74.21000003814697,0.7420999999999999,0.08043254911899567,1.5400282144546509
15,"ADAM,0.0009,WD=0",False,False,False,True,97.5920021533966,75.23000240325928,0.7523000000000001,0.07111645489931107,1.5180801153182983
1,"ADAM,0.0009,WD=0",False,False,False,False,36.785998940467834,47.78999984264374,0.4779,1.715396523475647,1.4218811988830566
2,"ADAM,0.0009,WD=0",False,False,False,False,53.38199734687805,56.01000189781189,0.5601,1.2884167432785034,1.2152045965194702
3,"ADAM,0.0009,WD=0",False,False,False,False,59.24999713897705,59.25999879837036,0.5926,1.135619044303894,1.1227492094039917
4,"ADAM,0.0009,WD=0",False,False,False,False,62.936002016067505,62.58999705314636,0.6259,1.0392496585845947,1.0555806159973145
5,"ADAM,0.0009,WD=0",False,False,False,False,66.02200269699097,63.450002670288086,0.6345,0.9589365720748901,1.0201629400253296
6,"ADAM,0.0009,WD=0",False,False,False,False,68.20399761199951,65.53999781608582,0.6554,0.8956748843193054,0.9785997867584229
7,"ADAM,0.0009,WD=0",False,False,False,False,70.63000202178955,65.96999764442444,0.6597,0.832646906375885,0.9809099435806274
8,"ADAM,0.0009,WD=0",False,False,False,False,72.79000282287598,64.34999704360962,0.6435,0.771655797958374,1.02583646774292
9,"ADAM,0.0009,WD=0",False,False,False,False,75.01599788665771,67.21000075340271,0.6721,0.7106748223304749,0.9675763845443726
10,"ADAM,0.0009,WD=0",False,False,False,False,77.39400267601013,66.61999821662903,0.6662,0.6476848721504211,1.0270755290985107
11,"ADAM,0.0009,WD=0",False,False,False,False,79.4920027256012,65.20000100135803,0.652,0.5827881693840027,1.0933257341384888
