EPOCHS,OPTIM,RESIDUAL,AUGMENTED,DROPOUT,BATCH_NORM,ACC_TRAIN,ACC_TEST,TEST_F1,ERROR_TRAIN,ERROR_TEST
1,"ADAM,0.0008,WD=0.0001",False,False,False,True,47.40000069141388,57.520002126693726,0.5752,1.47445547580719,1.1873458623886108
2,"ADAM,0.0008,WD=0.0001",False,False,False,True,63.34400177001953,66.97999835014343,0.6698,1.0443986654281616,0.9508858323097229
3,"ADAM,0.0008,WD=0.0001",False,False,False,True,68.86000037193298,69.12000179290771,0.6912,0.8804441094398499,0.8796569108963013
4,"ADAM,0.0008,WD=0.0001",False,False,False,True,73.225998878479,70.78999876976013,0.7079000000000001,0.7631341218948364,0.8423221111297607
5,"ADAM,0.0008,WD=0.0001",False,False,False,True,76.66000127792358,72.97999858856201,0.7298000000000001,0.6672956347465515,0.7749897241592407
6,"ADAM,0.0008,WD=0.0001",False,False,False,True,79.76800203323364,73.35000038146973,0.7335,0.5755260586738586,0.7917616963386536
7,"ADAM,0.0008,WD=0.0001",False,False,False,True,82.59999752044678,74.34999942779541,0.7435,0.49881264567375183,0.7547781467437744
8,"ADAM,0.0008,WD=0.0001",False,False,False,True,85.48799753189087,74.09999966621399,0.7410000000000001,0.41540056467056274,0.8032405376434326
9,"ADAM,0.0008,WD=0.0001",False,False,False,True,88.63400220870972,73.73999953269958,0.7374,0.3300703167915344,0.849113941192627
10,"ADAM,0.0008,WD=0.0001",False,False,False,True,90.71599841117859,75.37999749183655,0.7537999999999999,0.2711777687072754,0.84440016746521
11,"ADAM,0.0008,WD=0.0001",False,False,False,True,92.98200011253357,75.26999711990356,0.7527000000000001,0.20735007524490356,0.9023137092590332
12,"ADAM,0.0008,WD=0.0001",False,False,False,True,94.52999830245972,74.19999837875366,0.7419999999999999,0.16568854451179504,0.9553928971290588
13,"ADAM,0.0008,WD=0.0001",False,False,False,True,95.29799818992615,74.47999715805054,0.7448,0.13903364539146423,1.0032649040222168
14,"ADAM,0.0008,WD=0.0001",False,False,False,True,96.02800011634827,75.15000104904175,0.7515,0.1205030307173729,1.019141435623169
15,"ADAM,0.0008,WD=0.0001",False,False,False,True,96.28199934959412,75.04000067710876,0.7504,0.1105852797627449,1.0080788135528564
1,"ADAM,0.0008,WD=0.0001",False,False,False,False,20.53000032901764,37.049999833106995,0.37050000000000005,2.1594512462615967,1.7335870265960693
2,"ADAM,0.0008,WD=0.0001",False,False,False,False,43.031999468803406,47.00999855995178,0.4701,1.5713657140731812,1.4470025300979614
3,"ADAM,0.0008,WD=0.0001",False,False,False,False,49.68799948692322,51.52999758720398,0.5153,1.3888652324676514,1.32975435256958
4,"ADAM,0.0008,WD=0.0001",False,False,False,False,53.501999378204346,55.11999726295471,0.5512,1.2928611040115356,1.255661129951477
5,"ADAM,0.0008,WD=0.0001",False,False,False,False,56.86200261116028,57.92999863624573,0.5793,1.209905743598938,1.1739424467086792
6,"ADAM,0.0008,WD=0.0001",False,False,False,False,59.115999937057495,58.42999815940857,0.5843,1.1424092054367065,1.1630678176879883
7,"ADAM,0.0008,WD=0.0001",False,False,False,False,61.52799725532532,61.330002546310425,0.6133,1.0831466913223267,1.0915353298187256
8,"ADAM,0.0008,WD=0.0001",False,False,False,False,63.283997774124146,60.50000190734863,0.605,1.0423882007598877,1.1118205785751343
9,"ADAM,0.0008,WD=0.0001",False,False,False,False,64.89999890327454,62.91999816894531,0.6292,0.9962698221206665,1.0553255081176758
10,"ADAM,0.0008,WD=0.0001",False,False,False,False,66.28199815750122,63.999998569488525,0.64,0.9585854411125183,1.0210061073303223
11,"ADAM,0.0008,WD=0.0001",False,False,False,False,67.5499975681305,64.38000202178955,0.6438,0.9238951802253723,0.9951298236846924
12,"ADAM,0.0008,WD=0.0001",False,False,False,False,68.81600022315979,65.54999947547913,0.6555,0.8921661972999573,0.961628794670105
13,"ADAM,0.0008,WD=0.0001",False,False,False,False,69.84999775886536,65.50999879837036,0.6551,0.8625708222389221,0.9867614507675171
14,"ADAM,0.0008,WD=0.0001",False,False,False,False,70.85599899291992,65.96999764442444,0.6597,0.8317962288856506,0.969546914100647
15,"ADAM,0.0008,WD=0.0001",False,False,False,False,71.83399796485901,66.32999777793884,0.6633,0.8092856407165527,0.949919581413269
1,"ADAM,0.0008,WD=0.0001",False,False,True,True,43.01599860191345,54.589998722076416,0.5459,1.579409122467041,1.2601982355117798
2,"ADAM,0.0008,WD=0.0001",False,False,True,True,56.60200119018555,59.54999923706055,0.5955,1.2138234376907349,1.1284295320510864
3,"ADAM,0.0008,WD=0.0001",False,False,True,True,61.73800230026245,62.849998474121094,0.6285,1.0792622566223145,1.0496653318405151
4,"ADAM,0.0008,WD=0.0001",False,False,True,True,65.20799994468689,64.1700029373169,0.6417,0.9860955476760864,1.003423810005188
5,"ADAM,0.0008,WD=0.0001",False,False,True,True,67.99799799919128,65.49999713897705,0.655,0.9129061102867126,0.9752838611602783
6,"ADAM,0.0008,WD=0.0001",False,False,True,True,70.47600150108337,67.30999946594238,0.6731,0.8380911350250244,0.9407650232315063
7,"ADAM,0.0008,WD=0.0001",False,False,True,True,72.68199920654297,69.9500024318695,0.6995,0.7809843420982361,0.8763875365257263
8,"ADAM,0.0008,WD=0.0001",False,False,True,True,74.65599775314331,71.21000289916992,0.7121000000000001,0.7279176115989685,0.8426886200904846
9,"ADAM,0.0008,WD=0.0001",False,False,True,True,76.21600031852722,71.02000117301941,0.7101999999999999,0.6823645830154419,0.8391492366790771
10,"ADAM,0.0008,WD=0.0001",False,False,True,True,77.74800062179565,70.8299994468689,0.7083,0.6374379396438599,0.8653826117515564
11,"ADAM,0.0008,WD=0.0001",False,False,True,True,79.18800115585327,70.73000073432922,0.7073,0.5967692136764526,0.8801208734512329
12,"ADAM,0.0008,WD=0.0001",False,False,True,True,80.56600093841553,70.74999809265137,0.7075,0.5563965439796448,0.8763527870178223
13,"ADAM,0.0008,WD=0.0001",False,False,True,True,82.02199935913086,72.2000002861023,0.722,0.5144875049591064,0.8428650498390198
